name_product,sku,feature_1,feature_2,feature_3,feature_4
GRILLTIDER,PRNTNRALD001,Tusuk sate, baja tahan karat, 30 cm,
TOMAT,PRNTNRALD002,Botol semprot, hijau muda, 35 cl,
KALLSINNIG,PRNTNRALD003,Gelas, transparan plastik, 38 cl,
SPARTANSK,PRNTNRALD004,Botol air, kaca bening/hijau, 0.5 l,
SOMMARFLOX,PRNTNRALD005,Spatula, set isi 2, abu-abu hijau muda/abu-abu-hijau,
Ã–MSESIDIG,PRNTNRALD006,Mangkuk saji, set isi 2, hijau,
GRILLTIDER,PRNTNRALD007,Set 2 unit alat barbeku, baja tahan karat,,
UPPFYLLD,PRNTNRALD008,Cetakan es loli, pop-up toska/merah muda, 16 cm,
SOMMARFLOX,PRNTNRALD009,Kantung pendingin, garis-garis/kuning cerah, 26x19x19 cm,
TROFAST,PRNTNRALD010,Baki penyimpanan dengan kompartemen, abu-abu, 42x30x5 cm,
SOMMARFLOX,PRNTNRALD011,Serbet kertas, berpola abu-abu biru/putih, 33x33 cm,
IKEA 365+,PRNTNRALD012,Pembuat kopi/teh, kaca bening/baja tahan karat, 1 l,
Ã–MSESIDIG,PRNTNRALD013,Lap dapur, merah muda/ungu, 36x58 cm,
INNER,PRNTNRBNT014,Alas bantal kursi, putih/keras, 65x65 cm,
MALINDA,PRNTNRBNT015,Bantal kursi, hijau tua, 40/35x38x7 cm,
INNER,PRNTNRBNT016,Alas bantal kursi, putih/keras, 50x50 cm,
JORDKASTANJ,PRNTNRBNT017,Bantal kursi, abu-abu, 40x40 cm,
SANDMOTT,PRNTNRBNT018,Bantal kursi, aneka warna, 30x58 cm,
SVARTPOPPEL,PRNTNRBNT019,Sarung bantal kursi, kuning, 50x50 cm,
SVÃ„RDKRISSLA,PRNTNRBNT020,Sarung bantal kursi, alami/antrasit, 50x50 cm,
INNER,PRNTNRBNT021,Alas bantal kursi, putih/keras, 40x58 cm,
JÃ„TTEVALLMO,PRNTNRBNT022,Sarung bantal, kuning/putih, 50x80 cm,
SANDMOTT,PRNTNRBNT023,Bantal kursi, aneka warna/motif daun, 30x58 cm,
ENRUM,PRNTNRDKR024,Lentera u lilin kecil, lr/dlm ruang, biru pudar, 22 cm
Ã–MSESIDIG,PRNTNRDKR025,Garland, aneka warna, 2 m,
BORRBY,PRNTNRDKR026,Lentara untuk lilin tinggi, dlm/lr, krem, 28 cm
SMÃ„LLSPIREA,PRNTNRDKR027,Vas, kaca bening/berpola, 22 cm,
Ã„DELSYREN,PRNTNRDKR028,Lilin kecil beraroma, jeruk bali & mawar/merah muda pucat, 3.5 jam,
VINDSTILLA,PRNTNRDKR029,Tempat lilin kecil, merah muda pucat, 11 cm,
Ã„DELSYREN,PRNTNRDKR030,Lilin aroma dalam gelas dg penutup, jeruk bali & mawar/merah muda pucat, 20 jam,
ROSENMANDEL,PRNTNRGRD031,Gorden penggelap ruangan, 1 pasang, kuning-krem, 135x250 cm
ROSENMANDEL,PRNTNRGRD032,Gorden anti tembus cahaya, 1 pasang, abu-abu, 135x250 cm
PARKERINGAR,PRNTNRKPT033,Karpet, bulu tipis, merah muda, 80x150 cm
PARKERINGAR,PRNTNRKPT034,Karpet, bulu tipis, alami, 80x150 cm
SKÃ–TSAM,PRNTNRKPT035,Sarung untuk alas karpet bayi, pola anak anjing/putih, 55x83 cm,
TRONES,PRNTNRKMP036,Kabinet/tempat sepatu, abu-abu-hijau, 52x18x39 cm,
GREJIG,PRNTNRKMP037,Rak sepatu, abu-abu-hijau, 58x27x17 cm,
SPIKSMED,PRNTNRKMP038,Kabinet, abu-abu muda, 60x96 cm,
NÃ„MMARÃ–,PRNTNRKMP039,Box penyimpanan, diwarnai cokelat muda dalam ruang/luar ruang, 80x40x45 cm,
SPINNROCK,PRNTNRKMP040,Kotak dengan kompartemen, putih, 25x16x10 cm,
SPIKSMED,PRNTNRKMP041,Kombinasi kabinet, 119x32x97 cm,,
NÃ„MMARÃ–,PRNTNRKMP042,Unit rak, luar ruang, diwarnai cokelat muda, 83x75 cm
KOMPLEMENT,PRNTNRKMP043,Laci, abu-abu tua, 50x58 cm,
NÃ„MMARÃ–,PRNTNRKRS044,Kursi santai, luar ruang, diwarnai cokelat muda,
TORPARÃ–,PRNTNRKRS045,Krsi dg sndran tngn, dlm/luar ruang, abu-abu muda-biru,
NÃ„MMARÃ–,PRNTNRKRS046,Bangku, luar ruang, diwarnai cokelat muda, 120 cm
NÃ„MMARÃ–,PRNTNRKRS047,Kursi, luar ruang, dapat dilipat/diwarnai cokelat muda,
NÃ„MMARÃ–,PRNTNRKRS048,Bangku, luar ruang, dapat dilipat/diwarnai cokelat muda, 37x45 cm
HOLMSEL,PRNTNRKRS049,Kursi berlengan, hitam,,
VIMUND,PRNTNRKRS050,Kursi untuk meja anak, toska,,
NÃ„MMARÃ–,PRNTNRKRS051,Bangku dengan sandaran, luar ruang, diwarnai cokelat muda,
NÃ„MMARÃ–,PRNTNRKRS052,Kursi dg sandaran lengan, luar rg, diwarnai cokelat muda,
NÃ„MMARÃ–,PRNTNRKRS053,Kursi recliner, luar ruang, dapat dilipat diwarnai cokelat muda,
TORPARÃ–,PRNTNRKRS054,Krsi dg sndran tngn, dlm/luar ruang, putih/abu-abu,
TUMHOLMEN,PRNTNRKRS055,Kursi goyang, dalam/luar ruang, putih/aneka warna,
SEGERÃ–N,PRNTNRKRS056,Kursi dg sandaran lengan, luar rg, putih/krem/frÃ¶sÃ¶n/duvholmen krem,
TORPARÃ–,PRNTNRKRS057,Kursi recliner, luar ruang, putih/abu-abu,
SKARPÃ–,PRNTNRKRS058,Kursi berlengan, luar ruang, biru tua,
NÃ„MMARÃ–,PRNTNRKRS059,Dudukan ut sofa modular, luar ruang, diwarnai cokelat muda,
LILLÃ…NÃ„S,PRNTNRKRS060,Bangku bar, dilapisi krom/gunnared abu-abu tua, 63 cm,
LURVIG,PRNTNRDLL061,Alas garuk, alami, 25x63 cm,
RUNNEN,PRNTNRDLL062,Dek lantai, luar ruang, akasia, 0.81 mÂ²
ANLEDNING,PRNTNRDLL063,Karafe, cokelat muda, 1 l,
RUNNEN,PRNTNRDLL064,Dek lantai, luar ruang, rumput tiruan, 0.81 mÂ²
UPPÃ…TVIND,PRNTNRDLL065,Pembersih udara,,,
KNALLA,PRNTNRDLL066,Payung, dapat dilipat biru/putih,,
TJALLA,PRNTNRDLL067,Jam dinding, voltase rendah/warna perak, 28 cm,
LURVIG,PRNTNRDLL068,Rumah kucing, hitam, 33x38x33 cm,
PLATSA,PRNTNRDLL069,Unit gantungan pakaian, putih, 80x40x180 cm,
BOAXEL,PRNTNRDLL070,Rel pemasang, putih, 182 cm,
SVARTSTARR,PRNTNRDLL071,Tirai shower, putih/abu-abu, 180x200 cm,
BAGGMUCK,PRNTNRDLL072,Alas sepatu, dalam/luar ruang/abu-abu-hijau, 71x35 cm,
SOMMARLÃ…NKE,PRNTNRLMP073,Lampu gantung led, putih/dioperasikan dengan baterai luar ruang, 10 cm,
HÃ…RSLINGA,PRNTNRLMP074,Lampu lantai, putih,,
PEKTOLIT,PRNTNRLMP076,Kap lampu gantung, putih, 52 cm,
FORSÃ…,PRNTNRLMP077,Lampu kerja, krem,,
ANKARSPEL,PRNTNRLMP078,Lampu lantai/baca, efek pewter,,
SOMMARLÃ…NKE,PRNTNRLMP079,Lampu meja hias led, lentera luar ruang/dioperasikan dengan baterai krem, 28 cm,
HÃ…RSLINGA,PRNTNRLMP080,Lampu lantai, hitam,,
OLSERÃ–D,PRNTNRMJA081,Meja samping, antrasit/abu-abu tua, 53x50 cm,
OLSERÃ–D,PRNTNRMJA082,Meja samping, antrasit/kesan kayu birch kuning tua, 53x50 cm,
NÃ„MMARÃ–,PRNTNRMJA083,Meja, luar ruang, diwarnai cokelat muda, 75x63 cm
SPIKSMED,PRNTNRMJA084,Meja tv, 194x32x44 cm,,
NÃ„MMARÃ–,PRNTNRMJA085,Meja, luar ruang, diwarnai cokelat muda, 140x75 cm
LÃ…GASKÃ„R,PRNTNRMJA086,Meja tamu, luar ruang, krem,
BRYTBÃ–NA,PRNTNRPRB087,Gunting bunga, hijau muda,,
IKEA PS 2002,PRNTNRPRB088,Penyiram tanaman, hijau muda, 1.2 l,
ALFORSIT,PRNTNRPRB089,Ikat kabel, set isi 15,,
GRÃ„SMARÃ–,PRNTNRPRB090,Set taman, 3 unit, dalam/luar ruang hijau muda,
BRYTBÃ–NA,PRNTNRPRB091,Gunting utk herba, hijau muda,,
RULLEBÃ–R,PRNTNRPRB092,Troli, hitam,,
ULLVIDE,PRNTNRSPR093,Seprai berkaret, abu-abu, 140x200 cm,
Ã–MSESIDIG,PRNTNRSPR094,Selimut piknik, biru, 150x180 cm,
VÃ„DRA,PRNTNRSPR095,Sarung untuk alas karpet bayi, pola anak anjing/hijau muda, 48x74 cm,
SKÃ„RMLILJA,PRNTNRSPR096,Penutup tempat tidur , abu-abu, 150x250 cm,
JÃ„TTEVALLMO,PRNTNRSPR097,Seprai berkaret, kuning/putih, 160x200 cm,
FEJKA,PRNTNRTNM098,Tanaman tiruan dalam pot, dalam/luar ruang digantung/paku-pakis, 12 cm,
VITLÃ–K,PRNTNRTNM099,Kotak bunga dengan penyangga, dalam/luar ruang putih pudar, 56x20 cm,
FEJKA,PRNTNRTNM100,Tanaman buatan dg dudukan dinding, dalam/luar ruang/hijau/ungu,,
FEJKA,PRNTNRTNM101,Tanaman tiruan, dipasang di dinding/dalam/luar ruang hijau/ungu, 26x26 cm,
FEJKA,PRNTNRTNM102,Tanaman buatan dg dudukan dinding, dalam/luar ruang/hijau,,
FEJKA,PRNTNRTNM103,Tanaman tiruan dalam pot, dalam/luar ruang/tradescantia zebrina, 12 cm,
FLODBJÃ–RK,PRNTNRTNM104,Pot tanaman, dalam/luar ruang abu-abu cokelat terang, 24 cm,
FEJKA,PRNTNRTNM105,Tanaman tiruan dalam pot, dalam/luar ruang pohon karet, 23 cm,
Ã–MSESIDIG,PRNTNRTNM106,Dekorasi, bunga aneka warna,,
FEJKA,PRNTNRTNM107,Tanaman tiruan dalam pot, dalam/luar ruang/primula oranye, 9 cm,
OLIVBLAD,PRNTNRTNM108,Stand tanaman, dalam/luar ruang putih, 58 cm,
OLIVBLAD,PRNTNRTNM109,Stand tanaman, dalam/luar ruang putih, 56 cm,
Ã…KERBÃ„R,PRNTNRTNM110,Pot tanaman, dalam/luar ruang/galvanis, 24 cm,
FEJKA,PRNTNRTNM111,Tanaman tiruan dalam pot, anggrek kuning, 12 cm,
CHILIPEPPAR,PRNTNRTNM112,Pot tanaman, dalam/luar ruang krem, 41 cm,
CHILIPEPPAR,PRNTNRTNM113,Pot tanaman, dalam/luar ruang krem, 32 cm,
KLARBÃ„R,PRNTNRTNM114,Pot tanaman dengan alas, dalam/luar ruang abu-abu cokelat, 15 cm,
FLADDRIG,PRNTNRTAS115,Tas makan siang, garis-garis/aneka warna, 25x16x27 cm,
ISTAD,PRNTNRTAS116,Kantong yang dapat ditutup, berpola merah/merah muda,,
ISTAD,PRNTNRTAS117,Kantong yang dapat ditutup, berpola/biru,,
SKÃ–RDA,PRNTNRTAS118,Tas aksesori, biru/putih, 20x12 cm,
SKYNKE,PRNTNRTAS119,Kantong belanja, biru/putih, 45x36 cm,
LURVIG,PRNTNRTAS120,Tas travel hewan, hitam/abu-abu,,
